Uniprot_ID,labels,nr_db,nr_db_new
Q9P0M2,1,1,1
A0A0A6YYK7,0,0,0
Q8NFR7,1,1,1
Q03111,1,1,1
P86481,0,0,0
Q32P41,1,1,1
P16442,0,0,0
Q9NWZ3,1,1,1
P07316,0,0,0
Q8IYT8,1,1,1
O94921,1,1,1
Q5T0D9,0,0,0
Q8WXF5,0,0,0
Q6ZNB5,1,1,1
Q8N414,0,0,0
A0A1B0GVZ9,0,0,0
Q9Y5Q5,0,0,0
Q6P050,1,1,1
Q9NZH4,0,0,0
Q8IUH8,0,0,0
P11049,0,0,0
Q8WYK1,1,1,1
O15297,1,1,1
Q14435,0,0,0
Q2M3W8,0,0,0
Q9BWU1,1,1,1
Q9BY19,0,0,0
Q14183,1,1,1
P05108,0,0,0
O95388,0,0,0
Q96GN5,1,1,1
Q05925,1,1,1
O76038,1,1,1
Q9HBH0,1,1,1
Q8IYA8,1,1,1
Q8WVS4,0,0,0
Q8TE49,1,1,1
Q6P0N0,1,1,1
Q96HD1,1,1,1
Q93098,0,0,0
Q8NAA5,1,1,1
Q9UPX6,0,0,0
Q9H1H1,1,1,1
Q8IWI9,1,1,1
Q9UHT4,0,0,0
Q5T3Y7,0,0,0
Q8NGC3,0,0,0
Q99436,1,1,1
P47900,0,0,0
Q8N8D1,1,1,1
O96015,1,1,1
P20823,1,1,1
Q7L5A3,1,1,1
Q8N7U7,0,0,0
Q8NEE0,0,0,0
O43174,0,0,0
Q96G23,1,1,1
A6NC62,0,0,0
Q15735,1,1,1
Q5VWC8,0,0,0
A0A075B6I0,0,0,0
Q8NBI2,1,1,1
P48664,0,0,0
Q9BXU0,0,0,0
Q96AY4,1,1,1
Q67FW5,1,1,1
Q9Y6Y9,0,0,0
Q15022,1,1,1
Q5HYR2,0,0,0
Q502W7,0,0,0
Q9NYC9,1,1,1
P17481,0,0,0
A8MSI8,0,0,0
Q6H3X3,0,0,0
Q9NSD5,1,1,1
Q4VCS5,1,1,1
Q8IZU9,0,0,0
A6NJI9,0,0,0
Q9BVC6,1,1,1
Q6ZRH7,1,1,1
Q8IX15,1,1,1
P52594,1,1,1
Q7Z7J9,1,1,1
O43592,1,1,1
Q8N7W2,1,1,1
Q9UJW7,0,0,0
O94927,1,1,1
P62854,1,1,1
Q5TYM5,0,0,0
Q9BZI1,1,1,1
Q15329,1,1,1
Q969H6,1,1,1
P59090,0,0,0
Q8NGF7,0,0,0
A0PJW6,1,1,1
P41743,1,1,1
Q13519,0,0,0
Q14833,0,0,0
Q9BXX3,1,1,1
Q9Y421,1,1,1
Q5XLA6,0,0,0
Q8IY33,1,1,1
Q8NBD8,0,0,0
O43747,1,1,1
Q9H1M3,0,0,0
Q86WB0,1,1,1
P52740,0,0,0
Q13085,1,1,1
P02778,0,0,0
Q9NR20,1,1,1
Q9NYR9,1,1,1
A0A1B0GU33,0,0,0
Q8NBB4,1,1,1
Q96ND8,1,1,1
Q8NEG0,0,0,0
Q16602,0,0,0
Q8N5X7,1,1,2
Q08345,1,1,1
A0A0C4DH28,0,0,0
A6NJ88,0,0,0
A6NEE1,0,0,0
Q92623,0,0,0
Q12830,1,1,1
Q9GZN6,0,0,0
Q6ZUX7,0,0,0
Q5R387,0,0,0
P06729,1,1,1
Q6IMI4,0,0,0
Q9Y5H1,1,1,1
Q9BZA7,1,1,1
Q5VW38,1,1,1
Q1W209,0,0,0
A6NLE4,0,0,0
P42566,1,1,1
Q8IZQ1,1,1,1
Q14257,1,1,1
Q9UPZ9,1,1,1
P17213,0,0,0
Q9P2J5,1,1,1
Q9BYQ7,0,0,0
O75508,0,0,0
Q9Y237,1,1,1
Q3KP22,0,0,0
Q8IXB1,1,1,1
Q9UHV7,1,2,2
P0C6A0,0,0,0
O95522,0,0,0
Q86YJ6,0,0,0
Q12767,0,0,0
P0C7H8,0,0,0
Q96F45,1,1,1
Q8NEM7,1,1,1
Q6ZVD7,1,1,1
Q8TE82,1,1,1
Q8NBQ5,1,1,1
P33897,1,1,1
Q6NZ36,0,0,0
Q53HV7,1,1,1
Q9NST1,1,1,1
Q86WI0,0,0,0
Q717R9,0,0,0
Q96K58,1,1,1
O75626,1,1,1
P56557,1,1,1
Q08AD1,1,1,1
Q5U5X8,0,0,0
Q8WV99,1,1,1
Q8IUC6,1,1,1
P52926,1,1,1
P35240,1,1,1
Q9H427,0,0,0
A5PLK6,0,0,0
P42338,1,1,1
Q92622,0,0,0
Q6W4X9,0,0,0
O15444,0,0,0
Q12789,1,1,1
Q8N9Q2,1,1,1
A2VDJ0,1,1,1
Q5T6C5,1,1,1
B5MCN3,0,0,0
A8MTL3,0,0,0
Q5VWI1,0,0,0
Q9BV20,1,1,1
Q30KQ4,0,0,0
Q8IYH5,1,1,1
O95047,0,0,0
Q8N2H9,1,1,1
Q9UKL4,0,0,0
Q9H7E9,1,1,1
Q15041,1,1,1
P31040,1,1,1
Q8IVF2,1,1,1
A4D256,1,1,1
Q4G0N7,1,1,1
Q96N11,1,1,1
Q5JSL3,1,1,1
Q86U37,0,0,0
P49589,0,0,0
Q86UU9,0,0,0
Q8NFP0,0,0,0
Q9BZ95,1,1,1
Q969F8,0,0,0
Q9H2W2,0,0,0
Q7L590,1,1,1
Q92847,0,0,0
P59282,0,0,0
O95861,1,1,1
Q8NCW0,1,1,1
Q8IYX7,0,0,0
O15335,0,0,0
Q5GH70,0,0,0
Q8WTS6,1,1,1
Q9H6R7,1,1,1
Q9ULL0,0,0,0
O60225,1,1,1
Q9H3N1,1,1,1
Q8TBJ4,0,0,0
O94964,1,1,1
Q495N2,0,0,0
Q5T6V5,1,1,1
Q8N6T0,0,0,0
Q8IZN3,1,1,1
Q96AQ9,1,1,1
O75044,1,1,1
O43482,1,1,1
Q8N8U9,0,0,0
P24462,0,0,0
Q5T4B2,1,1,1
Q96E40,0,0,0
P23280,0,0,0
Q96S19,0,0,0
Q86SE9,1,1,1
Q8TC21,1,1,1
Q96QI5,0,0,0
P01920,0,0,0
C9JTQ0,0,0,0
Q6IF00,0,0,0
Q15796,1,1,1
Q8WW27,0,0,0
Q9P2M1,0,0,0
Q32M92,0,0,0
P35225,0,0,0
Q0JRZ9,1,1,1
A6NM03,0,0,0
P09758,1,1,1
Q96IT1,1,1,1
P0C851,0,0,0
Q86YV6,1,1,1
Q9UGF6,0,0,0
Q6IPT4,0,0,0
Q86XR2,0,0,0
Q969N2,1,1,1
M5A8F1,0,0,0
Q9Y6P5,1,1,1
Q9BSE2,1,1,1
Q6T311,1,1,1
Q96PX8,0,0,0
Q685J3,0,0,0
Q53HC9,1,1,1
O95231,1,1,1
Q9Y2B0,1,1,1
Q8NBM4,1,1,1
P17787,0,0,0
Q5DT21,0,0,0
Q96MR6,0,0,0
Q2TB90,0,0,0
P56556,1,1,1
Q5SY68,0,0,0
Q96QS1,0,0,0
Q9BR26,0,0,0
P01298,0,0,0
Q9H1Z8,0,0,0
P46734,1,1,1
Q9H993,0,0,0
O00712,1,1,1
A6NDL7,0,0,0
Q9NYJ1,1,1,1
Q7Z6I6,0,0,0
P05412,1,1,1
A0A0B4J234,0,0,0
A0AVK6,1,1,1
Q8TBK6,1,1,1
Q6PK57,0,0,0
Q9NYK6,0,0,0
Q8TEQ8,1,1,1
Q86UA6,1,1,1
Q96BN8,1,1,1
Q9UP79,0,0,0
P01215,0,0,0
Q9UHP6,1,1,1
Q9P000,1,1,1
Q14656,1,1,1
Q86XM0,0,0,0
Q8TAX7,0,0,0
Q9NYJ8,1,1,1
Q5VVY1,0,0,0
P49748,1,1,1
Q9UBX2,1,1,1
Q969M2,0,0,0
P23490,0,0,0
Q8N7L0,0,0,0
P51513,1,1,1
Q6P9G0,1,1,1
Q6UVW9,0,0,0
Q9Y263,1,1,1
Q8NFW9,1,1,1
Q5VZY2,1,1,1
Q8NG81,0,0,0
Q8NHA6,0,0,0
Q6UXR4,0,0,0
Q99928,0,0,0
Q8N9E0,1,1,1
Q8NH56,0,0,0
Q8N7H1,0,0,0
Q5VTJ3,0,0,0
Q8NGA5,0,0,0
P21399,1,1,1
Q9H4G0,1,1,1
A0PJW8,0,0,0
Q9UBB9,1,1,1
Q8IUC1,0,0,0
Q8IV03,1,1,1
Q32MZ4,1,1,1
Q9Y5Y2,1,1,1
Q8NGR3,0,0,0
Q8N6M0,1,1,1
Q8IYE1,0,0,0
P01286,0,0,0
E7EW31,0,0,0
Q9H3R5,1,1,1
Q53FP2,0,0,0
Q9BRS2,1,1,1
Q6ZPD8,0,0,0
Q8IZD0,1,1,1
O60315,1,1,1
O43633,1,1,1
Q5HYI8,1,1,1
P33527,1,1,1
Q99525,0,0,0
Q6NUM9,1,1,1
Q8WYJ6,0,0,0
P51810,0,0,0
Q8N145,0,0,0
Q9NY35,1,1,1
Q9Y6M4,1,1,1
P26992,0,0,0
Q15013,1,1,1
Q15291,1,1,1
Q8NFI3,0,0,0
P20132,0,0,0
A0A0K0K1G6,0,0,0
O14843,0,0,0
A6NFT4,1,1,1
Q0VG99,0,0,0
P0C629,0,0,0
P42356,1,1,1
Q9H5I5,0,0,0
Q8N3J6,0,0,0
Q5VUJ6,1,1,1
Q8TAT2,0,0,0
Q6P5Q4,0,0,0
Q9UMS5,1,1,1
Q9BVQ7,1,1,1
Q9P2X7,0,0,0
Q6X4T0,0,0,0
Q96F25,1,1,1
P04118,0,0,0
Q96CS4,1,1,1
Q6UX68,0,0,0
Q53GL7,1,1,1
P36383,1,1,1
Q6UXU0,0,0,0
O15126,1,1,1
Q8NEV4,0,0,0
Q4W4Y0,0,0,0
P43166,0,0,0
Q92636,1,1,1
Q5SXM1,1,1,1
Q9H489,0,0,0
Q9ULL4,1,1,1
O75747,1,1,1
A2RU54,0,0,0
Q00444,0,0,0
Q9NUS5,0,0,0
P0CW24,1,1,1
P0CG22,0,0,0
Q15572,1,1,1
O43427,1,1,1
P86397,1,1,1
Q7L3V2,0,0,0
O75164,1,1,1
A6NGZ8,0,0,0
P35998,1,1,1
Q86X24,1,1,1
Q96PU9,0,0,0
Q8WUA8,0,0,0
Q3LI54,0,0,0
Q9H3K6,1,1,1
Q96KK5,0,0,0
Q0P641,0,0,0
Q9HBV1,1,1,1
A6NNL5,1,1,1
Q495Y8,0,0,0
P0DP24,1,1,1
Q9HAT8,1,1,1
Q92692,1,1,1
Q6P2C8,1,1,1
Q02962,1,1,1
Q07325,0,0,0
Q5TGP6,0,0,0
P09326,1,1,1
Q86XI8,0,0,0
Q8TC57,1,1,1
Q6ZV60,0,0,0
Q12907,1,1,1
Q8IUK5,0,0,0
Q96QU4,0,0,0
Q9NPF4,1,1,1
Q9BQI6,0,0,0
Q86YL5,0,0,0
Q15617,0,0,0
Q9Y4L5,1,1,1
P51671,0,0,0
P29323,1,1,1
Q8IYL9,1,1,1
Q00604,1,1,1
A6NJY4,0,0,0
A6NGG8,0,0,0
Q92915,1,1,1
O00311,1,1,1
P01714,0,0,0
O14841,1,1,1
Q9NRD5,1,1,1
Q6UXZ0,0,0,0
O60256,1,1,1
Q9BZC1,1,1,1
A6NHA9,0,0,0
Q6YP21,1,1,1
Q13370,1,1,1
P51815,0,0,0
Q7Z404,0,0,0
Q8NG92,0,0,0
O95073,0,0,0
Q9UH64,0,0,0
Q92620,1,1,1
Q5QJ38,1,1,1
A6NCI4,0,0,0
P50607,1,1,1
Q6ICC9,0,0,0
Q9H3U7,1,1,2
Q96B02,1,1,1
A4IF30,1,1,1
O60437,1,1,1
A6NI03,0,0,0
P78337,1,1,1
Q96EG3,1,1,1
Q14549,0,0,0
Q96HA4,1,1,1
Q9BRX8,0,0,0
P42765,1,1,1
Q8NCA9,0,0,0
Q5QP82,1,1,1
A4D1U4,0,0,0
Q6TFL3,1,1,1
Q6NT89,0,0,0
P04626,1,1,1
Q8IZ20,0,0,0
P35575,0,0,0
Q7Z401,1,1,1
Q33E94,0,0,0
Q9H7Z7,1,1,1
Q5VUM1,0,0,0
Q8N1I0,1,1,1
Q86YT9,0,0,0
A0A1B0GV22,0,0,0
Q96PE7,1,1,1
O95751,1,1,1
Q96M15,0,0,0
A2RRP1,1,1,1
Q969G9,1,1,1
Q96KT6,0,0,0
Q9Y6W6,1,1,1
Q8IZF4,0,0,0
Q9HDB9,0,0,0
Q5TBA9,1,1,1
Q9H3U5,1,1,1
Q9BY10,0,0,0
A1XBS5,0,0,0
Q8NE00,0,0,0
P09105,0,0,0
A6NI87,0,0,0
Q9H4L5,1,1,1
Q6NUJ1,0,0,0
Q5EBN2,1,1,1
Q96G74,1,1,1
Q2T9L4,0,0,0
Q9NR61,0,0,0
Q9BWK5,0,0,0
Q8WWP7,0,0,0
Q5EBL2,0,0,0
Q0VG06,0,0,0
Q09FC8,1,1,1
P61218,1,1,1
Q6L8G5,0,0,0
P09067,1,1,1
Q9BUL8,1,1,1
W5XKT8,0,0,0
A6NKQ9,0,0,0
P08651,1,1,1
Q96PS1,0,0,0
Q8IX19,0,0,0
O43903,1,1,1
Q96S52,1,1,1
Q49SQ1,0,0,0
Q9NSI6,1,1,1
Q3C1V8,0,0,0
Q7RTV0,1,1,1
Q3KNW5,0,0,0
Q8IYT1,0,0,0
Q9BZJ3,0,0,0
A2A2Z9,1,1,1
Q96RU2,1,1,1
Q30KQ5,0,0,0
Q96MD7,1,1,1
Q8WYL5,1,1,1
Q5SQQ9,1,1,1
Q8NGG2,0,0,0
A8MU93,1,1,1
P56703,0,0,0
P60608,0,0,0
Q13616,1,1,1
Q9BT17,1,1,1
Q8IY50,1,1,1
A2A3K4,1,1,1
Q9UBK2,1,1,1
Q96Q27,1,1,1
Q8N554,1,1,1
P06737,1,1,1
Q9Y5Q3,1,1,1
Q9Y3E5,1,1,1
Q8NHU2,0,0,0
Q8WVJ9,1,1,1
P48546,0,0,0
Q86SP6,0,0,0
Q6A163,0,0,0
P23786,1,1,1
Q9NQX1,1,1,1
A0A1B0GTR4,0,0,0
Q9BXI2,0,0,0
A4D2B0,0,0,0
Q6ZNF0,1,1,1
Q15910,1,1,1
Q52LC2,1,1,1
Q11130,0,0,0
Q96RP8,0,0,0
P0CG23,1,1,1
Q9NPH2,1,1,1
Q9Y4P9,0,0,0
H7BZ55,0,0,0
Q15631,1,1,1
Q5VZL5,1,1,1
Q1L6U9,0,0,0
Q8N8J6,1,1,1
Q9BSH5,1,1,1
Q15382,1,1,1
Q3MJ13,0,0,0
Q9UI33,0,0,0
Q9BUM1,1,1,1
Q9UPR3,1,1,2
Q9NPI7,1,1,1
Q9NW81,1,1,1
Q14181,1,1,1
P05386,1,1,1
Q6AZW8,1,1,1
Q99735,1,1,1
Q9UHK6,0,0,0
O95163,1,1,1
A0A0A0MS03,0,0,0
P0CE72,0,0,0
Q9BYD5,0,0,0
P48506,1,1,1
P04198,1,1,1
Q9NX04,1,1,1
Q9UGN5,1,1,1
Q3Y452,0,0,0
Q96N23,0,0,0
P57738,0,0,0
Q9H2J7,1,1,1
Q9Y5X0,1,1,1
Q9H2W6,1,1,1
Q9BSG5,0,0,0
Q96DX7,1,1,1
Q9NZ43,1,1,1
Q5BIV9,0,0,0
Q9BPX3,1,1,1
Q9NQ92,1,1,1
P50851,1,1,1
Q13705,1,1,1
Q8WXG8,0,0,0
Q6ZU67,1,1,1
P0DN26,0,0,0
Q8TC07,1,1,1
A8MTA8,0,0,0
Q6ZUL3,0,0,0
Q15935,1,1,1
Q8IY47,1,1,1
P49771,0,0,0
A0A1B0GW64,0,0,0
O60393,0,0,0
Q9NVP4,1,1,1
B7Z1M9,0,0,0
Q8N4B4,0,0,0
Q9BYT3,1,1,1
O43657,1,1,1
Q5T7V8,1,1,1
Q9BYV1,0,0,0
Q8TB69,1,1,1
Q6UX72,1,1,1
Q9NPJ6,1,2,2
Q9NU53,1,1,1
Q6XZF7,1,1,1
Q6DN03,0,0,0
Q8WUT4,1,1,1
P20701,0,0,0
Q53ET0,1,1,1
P0DKX4,0,0,0
Q76NI1,1,1,1
Q53SZ7,0,0,0
Q6ZMZ3,0,0,0
Q8NGR6,0,0,0
Q9Y303,1,1,1
Q17RF5,0,0,0
Q8N7B9,0,0,0
A6NNJ1,0,0,0
Q68DC2,1,1,1
Q8WXC6,0,0,0
A6NN92,0,0,0
Q8NGC8,0,0,0
Q8TAU0,1,1,1
Q03188,1,1,1
Q8N3R9,1,1,1
O60565,0,0,0
Q8IXQ4,1,1,1
Q9NZ01,1,1,1
Q99726,1,1,1
Q9BQE5,1,1,1
O14526,1,1,1
Q9GZP7,0,0,0
Q9NY30,0,0,0
P53803,1,1,1
Q8IZS6,0,0,0
Q9H967,1,1,1
Q96EE3,1,1,1
C9J3V5,0,0,0
Q5T6X4,0,0,0
Q6P996,1,1,1
Q92619,0,0,0
Q9H5J8,1,1,1
Q6P4F7,1,1,1
Q5M7Z0,1,1,1
Q8TEA8,1,1,1
Q9H4E5,1,1,1
Q8TDT2,0,0,0
Q7Z3F1,0,0,0
Q5T1H1,0,0,0
Q9BQB6,1,1,1
Q9GZZ6,0,0,0
A6NGH7,0,0,0
Q9H3R1,0,0,0
O00124,1,1,1
Q9UBS9,1,1,1
P31269,1,1,1
Q8WU90,1,1,1
P0CK96,0,0,0
Q8WVY7,1,1,1
P15407,1,1,1
P52758,0,0,0
Q8NA77,0,0,0
Q8N436,0,0,0
Q494R0,0,0,0
A0A1B0GVS7,0,0,0
O95672,1,1,1
Q8N7B1,0,0,0
P0CG24,0,0,0
Q15057,1,1,1
Q6UXN9,1,1,1
Q53EV4,1,1,1
P53680,1,1,1
Q96C36,1,1,1
P53365,1,1,1
Q8IUS5,0,0,0
Q6PI98,1,1,1
P46531,1,1,1
P22466,1,1,1
Q8NAA6,0,0,0
O60765,1,1,1
O15205,1,1,1
Q9BVG4,1,1,1
P59045,0,0,0
Q86UK0,1,1,1
Q86X53,1,1,1
Q6ZN08,0,0,0
Q16670,1,1,1
Q92771,0,0,0
P0C7Q2,0,0,0
Q9BTV4,1,1,1
P56177,0,0,0
P47901,0,0,0
Q9BZW4,0,0,0
Q86VR7,0,0,0
Q9NR11,1,1,1
A4D1B5,1,1,1
Q9Y676,1,1,1
Q8TE69,0,0,0
Q5EB52,1,1,1
O43148,1,1,1
Q6IEE7,0,0,0
Q9BZQ2,0,0,0
P42681,1,1,1
Q04771,1,1,1
Q6TGC4,0,0,0
Q8NDY4,0,0,0
Q9NP60,0,0,0
O14832,1,1,1
Q13495,0,0,0
Q49AG3,1,1,1
Q9Y4A5,1,1,1
Q96KT0,0,0,0
A0A075B6U4,0,0,0
Q6UWT2,0,0,0
Q9HA90,0,0,0
O95490,0,0,0
A7KAX9,1,1,1
B5MD39,0,0,0
Q16568,0,0,0
O95528,0,0,0
Q8N3R3,0,0,0
Q9H2U9,0,0,0
Q711Q0,0,0,0
Q9Y5B8,1,1,1
Q9BW61,1,1,1
P54619,1,1,1
Q5HYK3,1,1,1
Q2NKX9,1,1,1
Q9UHY8,1,1,1
Q8NGL6,0,0,0
Q8NAJ2,0,0,0
H3BQJ8,0,0,0
P49593,1,1,1
Q92888,1,1,1
Q6NZ67,1,1,1
P54253,1,1,1
Q9H3H1,0,0,0
O14523,1,1,1
Q8IUR5,0,0,0
Q66K66,0,0,0
O94768,1,1,1
Q8NHV5,0,0,0
A8MZH6,0,0,0
Q9NWW5,1,1,1
Q5QJU3,0,0,0
Q8WV93,0,0,0
Q9BVX2,0,0,0
A1Z1Q3,1,1,1
A6NE52,0,0,0
Q9P219,1,1,1
Q6PF15,1,1,1
O95425,1,1,1
A8MQB3,0,0,0
Q5JT82,0,0,0
Q92551,1,1,1
H3BQB6,0,0,0
Q96A46,0,0,0
A8K855,1,1,1
Q8IWX8,1,1,1
Q96MR7,0,0,0
O75356,0,0,0
Q9Y388,1,1,1
A0A096LP49,0,0,0
Q9NQE9,1,1,1
Q6P4D5,0,0,0
Q9Y250,1,1,1
Q8NGG7,0,0,0
E9PAV3,1,1,1
Q6UX04,1,1,1
Q9Y6H3,0,0,0
A6NFU0,0,0,0
Q9NXV2,1,1,1
O43768,1,1,1
Q2WEN9,0,0,0
Q9NS62,0,0,0
Q8NGY6,0,0,0
P0C874,0,0,0
Q5VV63,0,0,0
P21439,0,0,0
Q9BYR8,0,0,0
A0A1B0GUS4,0,0,0
P30532,0,0,0
Q6P6B7,0,0,0
Q9NSY1,1,1,1
Q2M218,0,0,0
Q8TF30,0,0,0
A8MUV8,0,0,0
Q9UBT3,0,0,0
Q9UM82,1,1,1
A6NNF4,0,0,0
Q9UGN4,0,0,0
Q8N309,0,0,0
Q9H7X3,1,1,1
P58512,0,0,0
P50748,1,1,1
Q8N7S6,0,0,0
Q9P021,1,1,1
P28070,1,1,1
Q9NWW7,1,1,1
Q9NUL5,1,1,2
Q9BW30,1,1,1
Q6UY18,0,0,0
O95867,0,0,0
O15357,1,1,1
O75911,1,1,1
O75113,1,1,1
P80192,1,1,1
Q7Z5L7,0,0,0
Q9BQQ7,0,0,0
Q96N22,0,0,0
Q7L5D6,1,1,1
Q52M58,0,0,0
Q9UHA2,1,1,1
Q9Y6F6,0,0,0
Q7Z3K6,1,1,1
O60635,0,0,0
Q3KP31,0,0,0
Q13461,0,0,0
Q8TF62,0,0,0
Q9NT68,1,1,1
Q9UBX3,1,1,1
P40261,1,1,1
Q15067,1,1,1
A0A1B0GVX0,0,0,0
A6NCF6,0,0,0
Q8NI28,1,1,1
Q96PP9,0,0,0
Q6P2S7,0,0,0
Q9NV66,1,1,1
P11474,1,1,1
Q6ZT12,1,1,1
D6RIA3,0,0,0
P15863,1,1,2
P04731,0,0,0
Q8WVL7,1,1,1
O95780,0,0,0
Q8NGB2,0,0,0
Q9Y485,1,1,1
A2VEC9,0,0,0
Q8IX95,0,0,0
Q6IS24,1,1,1
A6NGB7,0,0,0
Q99650,1,1,1
Q93074,1,1,1
Q5VV16,0,0,0
O43298,1,1,1
Q8IWN7,0,0,0
Q8IWC1,1,1,1
Q13319,0,0,0
Q9BSF8,1,1,1
Q8WVE7,0,0,0
P02812,0,0,0
Q68DI1,0,0,0
Q96S95,0,0,0
Q7Z3Z4,1,1,2
Q8N474,1,1,1
Q5TGZ0,0,0,0
Q7Z6K1,0,0,0
Q7Z570,0,0,0
Q5MJ09,1,1,1
Q13490,1,1,1
Q5MY95,0,0,0
P36959,0,0,0
Q9ULU4,1,1,1
P28340,1,1,1
Q9NZP8,0,0,0
O15155,1,1,1
P0DM35,0,0,0
Q9UL40,1,1,1
Q9NQ48,1,1,1
Q2QGD7,1,1,1
P53805,1,1,1
P50219,1,1,1
Q8N5C8,1,1,1
